Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,416.577326421145,-11738.3976647955
18010.0125,416.094862368024,-11742.1683595353
18020.025,418.386701698019,-11740.6671764979
18030.0375,420.417948755518,-11724.5526647551
18040.05,423.433714162466,-11726.5234553073
18050.0625,410.272147837101,-11711.7356784406
18060.075,432.141929578488,-11702.1502736892
18070.0875,446.937020913038,-11682.3753289095
18080.1,418.939160176603,-11692.7122827571
18090.1125,416.600396127048,-11667.5491205671
18100.125,413.777982087907,-11678.9400499352
18110.1375,419.11815189305,-11678.7406209273
18120.15,418.967749979193,-11666.8854562096
18130.1625,417.122413334689,-11661.4676953346
18140.175,423.685251759806,-11673.2946263934
18150.1875,420.874107135957,-11657.9066649124
18160.2,421.252272505045,-11639.6370212321
18170.2125,411.800563366778,-11639.0410314423
18180.225,418.286872979479,-11631.8052474628
18190.2375,420.390460214018,-11622.7245447781
18200.25,422.825240521649,-11628.2853137312
18210.2625,412.742993722474,-11617.1280408391
18220.275,408.255708714136,-11598.9955517236
18230.2875,417.817967636916,-11601.2219989682
18240.3,424.126785726951,-11590.1447732493
18250.3125,413.171205542611,-11583.6146885772
18260.325,396.652118231681,-11591.9247504805
18270.3375,415.107179391906,-11571.953609717
18280.35,419.032934465583,-11567.7718776259
18290.3625,413.850549256774,-11544.8808004314
18300.375,413.880781463977,-11558.0334854691
18310.3875,407.24426916023,-11547.2443417877
18320.4,422.933410624899,-11533.0657013034
18330.4125,411.92939226002,-11539.2099678272
18340.425,395.159398162254,-11519.0970424442
18350.4375,411.279275218124,-11523.9397084513
18360.45,391.012278905261,-11527.0596019478
18370.4625,415.130521772221,-11499.570450631
18380.475,416.091423853381,-11503.5588215167
18390.4875,398.322918493253,-11502.120020881
18400.5,411.486750728507,-11495.8973779877
18410.5125,411.49254607595,-11500.3318100605
18420.525,412.188271651494,-11479.926604071
18430.5375,419.804543446655,-11464.0281821213
18440.55,406.382769420222,-11473.6583036365
18450.5625,405.001994794515,-11462.1699587016
18460.575,419.49250174401,-11453.620401213
18470.5875,391.836162510764,-11459.2117343462
18480.6,399.275912480941,-11455.7951768452
18490.6125,409.954838478432,-11438.0198872877
18500.625,406.07633911828,-11432.5781580274
18510.6375,410.798755792856,-11432.8627957083
18520.65,416.993713972669,-11419.6825100848
18530.6625,382.788409617527,-11412.6015299464
18540.675,409.258235808958,-11397.9702688737
18550.6875,406.89980430538,-11400.4672677458
18560.7,373.619721361477,-11407.0086151989
18570.7125,406.907089679183,-11395.2242250408
18580.725,411.835423227361,-11379.89806011
18590.7375,418.140059482636,-11367.7835697716
18600.75,406.649597797064,-11368.8220939491
18610.7625,406.676350204034,-11363.6624924634
18620.775,395.786424283254,-11360.5002820937
18630.7875,409.824980354309,-11341.6401376558
18640.8,413.907953944791,-11340.5445169835
18650.8125,402.577822272086,-11338.8559997795
18660.825,381.305080242167,-11334.0806975648
18670.8375,406.498200323711,-11335.4042701648
18680.85,393.507738415609,-11333.6440175793
18690.8625,401.781959526589,-11313.5793779453
18700.875,402.572085205933,-11308.2606858513
18710.8875,415.474941033665,-11327.4657979481
18720.9,391.217588905112,-11300.0858157084
18730.9125,401.804600420799,-11313.7838427043
18740.925,396.745361079637,-11286.6122924355
18750.9375,400.703279106568,-11283.5094374871
18760.95,415.942634019142,-11253.5858435307
18770.9625,407.748349245362,-11284.0870577365
18780.975,396.824999336884,-11267.7519824251
18790.9875,403.043076646593,-11249.0278628918
18801.0,392.670628197961,-11251.1739068407
18811.0125,409.94996772979,-11243.6859049935
18821.025,397.837696722635,-11231.2336810264
18831.0375,402.350747860734,-11220.3007727097
18841.05,392.404710413537,-11224.6510702426
18851.0625,399.968707968219,-11220.4318014587
18861.075,395.682512883514,-11232.373495491
18871.0875,400.975624830499,-11214.8466802061
18881.1,393.251634361379,-11199.563193097
18891.1125,405.315047802446,-11197.0958721241
18901.125,395.680732725708,-11184.0467431441
18911.1375,390.387144744591,-11194.8923614611
18921.15,399.319461014407,-11179.3487088292
18931.1625,386.659975629214,-11161.6051274291
18941.175,397.533300464351,-11155.0268797172
18951.1875,394.86371426391,-11162.161802482
18961.2,408.047368615305,-11158.0170522719
18971.2125,393.521231914455,-11148.8888925539
18981.225,405.860748247114,-11149.3076873433
18991.2375,402.248285721442,-11143.2697477855
19001.25,394.545528219865,-11113.6490700199
19011.2625,386.001401798161,-11120.8155818878
19021.275,395.736644701063,-11118.9618235786
19031.2875,394.011842269757,-11123.5715037828
19041.3,386.530953638562,-11096.919439994
19051.3125,390.878279481349,-11091.0093736815
19061.325,388.240332216154,-11081.3429040913
19071.3375,395.118257059899,-11092.7985041911
19081.35,386.848772863414,-11100.3566423648
19091.3625,397.917852087939,-11084.8156689628
19101.375,381.648460848589,-11095.0049034291
19111.3875,389.693185809713,-11070.9610696595
19121.4,389.965328222722,-11066.7854703056
19131.4125,370.271745064563,-11042.3305731281
19141.425,410.812622354298,-11039.5506078487
19151.4375,390.664395254495,-11044.6838118509
19161.45,394.510899432915,-11046.7175449925
19171.4625,391.155178959126,-11038.8496296397
19181.475,378.191270708526,-11026.6658236176
19191.4875,380.259645903458,-11028.4583702076
19201.5,377.52727817321,-11039.2952818408
19211.5125,394.30489562767,-11019.2037470142
19221.525,395.112339635426,-10997.1156279301
19231.5375,380.392752085769,-10999.0385249351
19241.55,387.95727035623,-10997.8744335172
19251.5625,414.788800822836,-10995.7770292002
19261.575,379.572036178556,-10982.531052275
19271.5875,400.918193734074,-10985.5133180622
19281.6,396.063760340915,-10949.8734360667
19291.6125,387.018554329391,-10968.569053839
19301.625,410.181423582725,-10954.0832350374
19311.6375,369.950707626111,-10943.2966286541
19321.65,387.425764367888,-10941.2357035249
19331.6625,375.243933984898,-10967.1527351792
19341.675,384.964541622999,-10940.5107332052
19351.6875,378.473301214466,-10943.0557451732
19361.7,398.414839637937,-10940.6520334536
19371.7125,394.194815152486,-10920.0726719675
19381.725,390.695874562846,-10911.4734958066
19391.7375,384.609754087433,-10911.6832482878
19401.75,371.45263422485,-10865.8429408048
19411.7625,396.486452506635,-10898.4850366725
19421.775,380.05775756598,-10913.7611881556
19431.7875,374.463867663735,-10891.8993707001
19441.8,382.990785306198,-10881.6804109415
19451.8125,387.995186916869,-10887.4289668758
19461.825,375.7912140038,-10867.4734346945
19471.8375,369.572996600886,-10873.2176536691
19481.85,382.855043407862,-10883.0121157512
19491.8625,392.921513453693,-10855.4359054996
19501.875,396.627597955242,-10830.2189422867
19511.8875,382.464197550468,-10846.4271136717
19521.9,384.720214162968,-10845.1694096265
19531.9125,375.130694516607,-10822.4806651068
19541.925,388.897174607535,-10844.1674285596
19551.9375,370.569566661058,-10807.6482855927
19561.95,380.769500867977,-10818.3901272425
19571.9625,392.371536144852,-10810.765131505
19581.975,371.498637989762,-10804.2605950365
19591.9875,382.873502706718,-10800.532238672
19602.0,378.502120790575,-10810.3784572622
19612.0125,377.304979422796,-10789.1052971451
19622.025,382.818586497169,-10756.3624419736
19632.0375,381.621763276661,-10792.703177442
19642.05,377.189380757885,-10797.4597934977
19652.0625,378.72234541563,-10764.0285745979
19662.075,382.125320682808,-10759.4626824022
19672.0875,372.325138771095,-10787.5738531995
19682.1,385.107331568184,-10763.696515165
19692.1125,387.594155072053,-10740.889791413
