Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,107.140257948771,-3195.27992970824
18010.0125,106.699121148916,-3193.76482150502
18020.025,107.413976656089,-3192.27939438141
18030.0375,106.842553462251,-3190.50972804027
18040.05,106.39726593592,-3188.7997507752
18050.0625,108.816454213877,-3186.38753244057
18060.075,107.621188641587,-3185.31517912592
18070.0875,107.217122139653,-3183.50163543896
18080.1,107.895612279905,-3183.64458874052
18090.1125,106.777163558526,-3180.07567353546
18100.125,105.978422761227,-3177.1750350504
18110.1375,106.198290435703,-3177.2891607145
18120.15,106.587808414558,-3175.38549131254
18130.1625,106.156662064257,-3173.98542681474
18140.175,106.607477747876,-3171.46171354562
18150.1875,106.175426900426,-3170.15190589278
18160.2,106.407530838236,-3166.94882613706
18170.2125,106.209561577973,-3166.24320698158
18180.225,107.177445792597,-3165.08719437844
18190.2375,106.459142373211,-3163.22796716435
18200.25,106.767340799272,-3159.52984670031
18210.2625,106.624750040517,-3159.73293197364
18220.275,106.515803271842,-3158.08946038778
18230.2875,106.073183027654,-3156.66518543511
18240.3,105.835146955405,-3154.33008261632
18250.3125,107.543856355964,-3152.65991116954
18260.325,106.922519734689,-3151.87795370824
18270.3375,106.466007439356,-3149.33663092925
18280.35,105.815899098743,-3147.88582112369
18290.3625,105.596875459726,-3146.68447973424
18300.375,106.421714871394,-3145.52656368576
18310.3875,104.904688084445,-3143.70372572202
18320.4,104.263865673401,-3142.24897249546
18330.4125,105.34385258186,-3139.69671944769
18340.425,105.137330458719,-3138.36549914764
18350.4375,104.645382486275,-3134.4733672986
18360.45,105.163785059389,-3134.00979958118
18370.4625,105.338413262778,-3133.56240052288
18380.475,104.791204940651,-3131.47237244716
18390.4875,104.473403410456,-3129.74464745266
18400.5,104.899912941616,-3131.15543030369
18410.5125,105.09403977454,-3125.66410625767
18420.525,105.608289223554,-3124.49876043382
18430.5375,104.425225352851,-3122.51959124405
18440.55,104.305054200423,-3121.40692662315
18450.5625,104.372425059353,-3120.07320034304
18460.575,104.38974229855,-3118.54402838179
18470.5875,104.475095156511,-3115.87921259751
18480.6,104.990773450232,-3114.08119432723
18490.6125,104.186152538072,-3112.65430020565
18500.625,103.964900611894,-3112.34648117829
18510.6375,103.613751991909,-3110.28165753704
18520.65,103.471445139882,-3108.25287161844
18530.6625,104.240999320409,-3106.430274739
18540.675,104.325131853029,-3105.49569072197
18550.6875,103.335077882181,-3103.28694028956
18560.7,103.815621616035,-3101.15059346398
18570.7125,105.139023541267,-3100.4440279556
18580.725,102.903125892434,-3096.85351783011
18590.7375,102.981748141179,-3096.53779899338
18600.75,102.629610084726,-3093.60067387415
18610.7625,103.442304146078,-3093.34844953972
18620.775,104.075296836943,-3091.32521052983
18630.7875,103.510361354439,-3088.99132454171
18640.8,103.288413489532,-3088.7289696339
18650.8125,102.70156805856,-3087.9469690082
18660.825,103.168231315663,-3084.78210173162
18670.8375,102.66748716925,-3082.46733767822
18680.85,103.515315254222,-3082.55649569011
18690.8625,102.767006240914,-3079.86741369796
18700.875,103.64154233273,-3079.23800034787
18710.8875,102.867845054777,-3076.69859338186
18720.9,102.732197475376,-3074.2819476537
18730.9125,102.292000347638,-3073.74435843607
18740.925,102.223180875355,-3072.29554505732
18750.9375,103.333205034959,-3070.60800701779
18760.95,102.575072491441,-3068.8346639008
18770.9625,101.793333090259,-3067.40492372183
18780.975,102.249027120643,-3065.12956502501
18790.9875,101.807761215738,-3065.51304537648
18801.0,101.329211553347,-3062.42303306341
18811.0125,102.165027531089,-3060.6471503857
18821.025,102.843038225592,-3057.20973194322
18831.0375,102.614013235217,-3058.63279130409
18841.05,103.106532504423,-3056.16702910646
18851.0625,102.095268764623,-3054.92626776816
18861.075,101.950533528073,-3053.17271051511
18871.0875,101.503624847464,-3052.13728690841
18881.1,102.357930400613,-3049.71852937984
18891.1125,100.637153551905,-3047.92863109077
18901.125,101.569581193502,-3046.25380497714
18911.1375,102.02509956934,-3044.51780544581
18921.15,104.273315624935,-3042.99936992988
18931.1625,102.374514159232,-3041.4559046096
18941.175,100.179301814746,-3040.25809502921
18951.1875,101.645582341145,-3038.83667254184
18961.2,101.632767352915,-3037.31858883833
18971.2125,102.486838554034,-3035.58547452034
18981.225,101.237825123862,-3034.35313822427
18991.2375,102.312952899056,-3033.79744081825
19001.25,101.0112394627,-3030.57756107642
19011.2625,101.857665278806,-3029.92204889484
19021.275,100.370612308459,-3028.96400036141
19031.2875,100.387674599291,-3025.84740957639
19041.3,99.8309667116317,-3023.63024976415
19051.3125,100.595707481926,-3023.45883676825
19061.325,101.100044511402,-3020.78404200043
19071.3375,101.326885610614,-3019.87826250468
19081.35,100.679831318155,-3018.22958638887
19091.3625,100.631293149095,-3017.28441617161
19101.375,100.273638216192,-3015.45761222672
19111.3875,99.6095451360016,-3013.905086408
19121.4,101.557166788209,-3012.43467331635
19131.4125,100.207788004372,-3010.3404425956
19141.425,101.153103799078,-3008.71581273485
19151.4375,99.8803222834881,-3007.36297399009
19161.45,100.306230871221,-3004.9247930477
19171.4625,101.597945869665,-3004.47654436264
19181.475,99.819782195138,-3002.30808837426
19191.4875,99.0945229706914,-3000.6077814565
19201.5,100.046854037091,-2999.62768272719
19211.5125,101.995780405353,-2998.52521435087
19221.525,100.109422835214,-2996.35881306935
19231.5375,100.171959507518,-2994.75403360883
19241.55,98.0099913151355,-2992.88494535468
19251.5625,99.526231101809,-2993.38320444188
19261.575,97.8368533169995,-2990.41759820894
19271.5875,100.259083155132,-2988.56475680354
19281.6,99.0496074995638,-2987.01625184332
19291.6125,101.030238303664,-2984.57249814707
19301.625,99.6292677782117,-2983.96798093315
19311.6375,98.652758069529,-2983.76422419368
19321.65,100.244042831371,-2981.34776021018
19331.6625,100.070175708448,-2979.73587714605
19341.675,99.2495727709171,-2978.46260208028
19351.6875,98.5543838225069,-2975.76242199589
19361.7,98.6591169241459,-2974.14645145216
19371.7125,99.6110178918276,-2974.09478914999
19381.725,99.0300533757397,-2972.47095951792
19391.7375,97.6584761400871,-2970.93168092563
19401.75,98.8859437920867,-2968.86162121934
19411.7625,98.3580974742781,-2967.00568469908
19421.775,99.4755516523994,-2965.49025999743
19431.7875,98.3517710163854,-2962.8305369753
19441.8,98.7864309822211,-2963.19579049859
19451.8125,98.2507630312447,-2961.78513936397
19461.825,101.739079789979,-2959.75422281683
19471.8375,98.7689114959542,-2957.39922289022
19481.85,98.8640442456169,-2956.13551872698
19491.8625,97.5253487657055,-2956.52190720188
19501.875,98.3268955228346,-2953.814571128
19511.8875,98.1984517427191,-2953.38960238618
19521.9,98.7960617699439,-2951.68677606354
19531.9125,97.5250493001178,-2948.30959340078
19541.925,97.7666584708942,-2948.42271526549
19551.9375,97.3935289473882,-2946.31293440277
19561.95,99.0980712978748,-2945.35940820914
19571.9625,97.8983762582324,-2942.70881463478
19581.975,96.6484138222591,-2943.78087854078
19591.9875,97.8791138388506,-2940.01978943428
19602.0,98.0487278677641,-2939.12549489576
19612.0125,96.0240433702172,-2938.61287229535
19622.025,97.3260820397661,-2935.94181130957
19632.0375,98.1057523487499,-2935.15539722305
19642.05,96.3304309534272,-2932.87423927771
19652.0625,97.6839814790852,-2932.1775335311
19662.075,98.9426368264146,-2932.12754281716
19672.0875,97.3837856039595,-2928.85477429657
19682.1,94.8319344692506,-2927.12162642429
19692.1125,97.7689063598008,-2924.64838282946
19702.125,94.3996593326859,-2923.23142736675
19712.1375,96.3581275475983,-2923.55623248915
19722.15,97.4012508980394,-2921.42641387018
19732.1625,95.8829847824773,-2916.02264032549
19742.175,97.2606527598891,-2918.81571389658
19752.1875,97.2099573941201,-2915.89232985315
19762.2,96.5304272160748,-2916.27462304954
19772.2125,95.7673203940142,-2914.06655562197
19782.225,98.1670252667681,-2913.65195162506
19792.2375,96.6603809648207,-2912.338002595
19802.25,98.1385058089559,-2908.44305935948
19812.2625,96.2464964831494,-2908.1242762785
19822.275,96.6951005355182,-2907.75832249565
19832.2875,96.1557279850253,-2904.91421609722
19842.3,97.2301850298786,-2904.22695012767
19852.3125,98.4746294875632,-2903.18741070406
19862.325,97.3053185331239,-2901.7323736586
19872.3375,96.3215711366152,-2898.38694480595
19882.35,97.4520532213942,-2898.87403730086
19892.3625,95.983796059712,-2896.60734260517
19902.375,95.2655316584925,-2894.31243954608
19912.3875,97.6066684410298,-2893.68364553862
19922.4,97.2286502987554,-2893.76705385152
19932.4125,96.3380150871319,-2891.83245968513
19942.425,96.1786438043652,-2889.9008029341
19952.4375,96.1735023239796,-2888.48645314502
19962.45,96.927519202711,-2885.57406039066
19972.4625,94.538786168508,-2885.09542700389
19982.475,95.7854651698765,-2883.98889010677
19992.4875,95.8791031474961,-2882.20123689602
20002.5,94.2553223328648,-2881.15913256073
20012.5125,95.7269883232352,-2878.61247016103
20022.525,94.7676199310231,-2879.77808244908
20032.5375,95.2767635937217,-2876.30155443368
20042.55,96.1521356392323,-2875.92238457222
20052.5625,95.1543021200359,-2875.62038379906
20062.575,95.1899565491541,-2872.45664986959
20072.5875,95.3813620900318,-2872.60184530783
20082.6,94.9062652998991,-2870.4107573057
20092.6125,96.1676748364353,-2869.68079030065
20102.625,93.8453716658241,-2865.49699233793
20112.6375,95.3891916029276,-2865.39526874287
20122.65,96.3848535253437,-2862.91943452792
20132.6625,94.094590929879,-2863.68620119478
20142.675,95.3186368327507,-2860.29533189393
20152.6875,95.1513694585918,-2860.08403714458
20162.7,95.2676552006841,-2858.57864332663
20172.7125,92.9197593896743,-2857.99416067663
20182.725,93.1584399481498,-2856.64644495376
20192.7375,94.9559098439615,-2854.3230322873
20202.75,94.2537461831092,-2853.03865738634
20212.7625,94.7746479027728,-2851.67399560823
20222.775,92.4592646459878,-2850.09336092244
20232.7875,94.4471660619787,-2849.65231269067
20242.8,95.7777479596097,-2846.0070711914
20252.8125,96.1212273827455,-2845.84789005829
20262.825,93.7445657212793,-2846.54835467854
20272.8375,94.6704108260439,-2844.98964985194
20282.85,94.5222606023777,-2842.18509943718
20292.8625,95.9494980546545,-2840.0878375383
20302.875,95.2451770096045,-2839.73072564605
20312.8875,96.0889425611839,-2841.55261711032
20322.9,94.0977233431994,-2836.54843697909
20332.9125,94.0280432529566,-2834.40524051347
20342.925,95.9946531824788,-2834.75308563759
20352.9375,94.4437427168015,-2833.94413315621
20362.95,98.7040360211223,-2829.75161489144
20372.9625,93.4147485764189,-2830.1000663495
20382.975,93.5396404072816,-2827.29373600454
20392.9875,94.290271945088,-2824.73434374136
20403.0,94.7606979816209,-2826.03827240983
20413.0125,90.9026785573601,-2824.65446076272
20423.025,92.5799105621159,-2820.86392585925
20433.0375,91.9446021035357,-2824.0314637696
20443.05,93.6263394109664,-2818.59746712661
20453.0625,93.9528764909435,-2818.51635311486
20463.075,93.3979701368911,-2817.02949191346
20473.0875,93.4825542618108,-2814.52743040588
20483.1,93.2267215222935,-2815.48080558417
20493.1125,93.3387196693457,-2812.81974801305
20503.125,93.2160083257532,-2811.92217869462
20513.1375,95.1675788412557,-2811.91566085933
20523.15,95.2153207353572,-2808.91005992589
20533.1625,91.5320926049076,-2806.28665323837
20543.175,92.996286301506,-2806.61320397268
20553.1875,94.1342894706237,-2805.76765916316
20563.2,90.7692887373079,-2797.56739937478
20573.2125,93.5585986185648,-2802.31392435181
20583.225,93.9105014935441,-2800.29544016116
20593.2375,93.3836510560833,-2801.97073828991
20603.25,93.1451838926799,-2799.03765632186
20613.2625,94.3108544963813,-2795.96820787028
20623.275,92.4366195749788,-2796.00929060616
20633.2875,94.7872898202306,-2797.82101656723
20643.3,91.7596867341324,-2792.66660376236
20653.3125,92.6068167652234,-2793.13512256528
20663.325,91.87463159247,-2789.83629433652
20673.3375,92.3575475554905,-2789.8875939715
20683.35,92.0184651151074,-2787.37441859417
20693.3625,92.4032760778038,-2784.61291208368
20703.375,90.9252958164362,-2789.37689239573
20713.3875,92.1069940614816,-2786.38982280285
20723.4,93.0877027215122,-2781.44785315515
20733.4125,88.5213760286942,-2781.75332030913
20743.425,92.5023530188782,-2779.70313357043
20753.4375,93.0229148838921,-2779.65845740447
20763.45,93.5602841172641,-2775.22447752862
20773.4625,89.6640102953964,-2772.60169563791
20783.475,89.6018191168028,-2775.24728756113
20793.4875,92.2587486550114,-2773.06833929558
20803.5,89.9050905619316,-2770.25668024197
20813.5125,90.3790230217459,-2770.51140930423
20823.525,88.4528195476079,-2767.36861736751
20833.5375,92.0380899584113,-2767.06257284768
20843.55,93.0924486471856,-2766.04759981413
20853.5625,89.5082826215911,-2766.69795507388
20863.575,91.8892516791707,-2763.35230776659
20873.5875,92.681034708026,-2768.09022420657
20883.6,93.5326099901846,-2762.34177235805
20893.6125,91.6361502002209,-2758.54851586776
20903.625,89.0163481182897,-2762.06951370352
20913.6375,91.9129657981573,-2756.74031889793
20923.65,87.3955971660709,-2757.00818306828
20933.6625,88.1969334464874,-2755.27622435451
20943.675,93.3238523232351,-2751.36654899671
20953.6875,91.5587943051039,-2752.05742232409
20963.7,91.476684724839,-2750.44103016652
20973.7125,92.0688533320055,-2750.86064763855
20983.725,91.6225640607201,-2747.59894774107
20993.7375,92.811859937542,-2743.65217296634
21003.75,90.4671176706424,-2748.10609055215
21013.7625,90.531317902896,-2744.38393365824
21023.775,91.6504061673019,-2744.86605718436
21033.7875,91.4532692425477,-2741.89852850987
21043.8,91.5302122548218,-2741.23114254772
21053.8125,92.5898623181652,-2738.92184909872
21063.825,88.6477660058067,-2740.81249122493
21073.8375,88.1468242754818,-2734.66180539282
21083.85,90.1190597563599,-2734.00714619091
21093.8625,91.0427007332717,-2732.82777014153
21103.875,93.195643163022,-2734.28050669736
21113.8875,91.956904743608,-2732.55886507988
21123.9,92.6662526588094,-2730.68923198209
21133.9125,91.1001308480601,-2727.63731387277
21143.925,92.167599665944,-2726.16643250875
21153.9375,90.9083777485376,-2726.72491003257
21163.95,94.4889100541815,-2721.98851428034
21173.9625,93.3223067241312,-2723.23485268539
21183.975,89.843192988846,-2722.3864089094
21193.9875,90.7029096753667,-2719.64375048655
21204.0,90.9898862543823,-2720.55835780179
21214.0125,84.8030056883571,-2718.80008630127
21224.025,91.1742923386059,-2717.63155124807
21234.0375,88.320461274669,-2716.12945960541
21244.05,94.726658526244,-2717.08688545215
21254.0625,90.1984333192269,-2712.29496601338
21264.075,86.3080959841275,-2713.1353221123
21274.0875,90.3300291250578,-2711.12541734846
21284.1,88.8230341781288,-2711.72831189726
21294.1125,90.3027750508265,-2708.32569948793
21304.125,93.9874816467581,-2709.99122135521
21314.1375,90.9172335762289,-2707.65861964395
21324.15,89.9885571511695,-2705.77800126683
21334.1625,89.2119515389221,-2701.1758667566
21344.175,87.9761368620935,-2699.84153944236
21354.1875,85.9899397045436,-2702.53915626722
21364.2,90.8782772777698,-2699.91049536163
21374.2125,92.2012940515539,-2697.21645442961
21384.225,88.3778851113718,-2697.07294467514
21394.2375,89.9519358405996,-2696.14360932269
