Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,440.5044226210433,-11999.682113163864
18010.0125,405.8077983827564,-12022.749751772984
18020.025,430.6573653005543,-11981.859280777033
18030.0375,423.38815300166016,-11973.151214581523
18040.05,429.732572661848,-11967.590294067595
18050.0625,421.573604612944,-11965.3417531887
18060.075,430.33626087491126,-11961.788837067268
18070.0875,420.3698410895554,-11947.798424273433
18080.1,430.5433351359199,-11933.092538064308
18090.1125,428.8420168872554,-11941.577742257758
18100.125,419.8652851531261,-11934.559868847597
18110.1375,440.8813396131756,-11928.79437154033
18120.15,440.5912424897463,-11926.587644337233
18130.1625,425.1845732206029,-11911.436861954053
18140.175,427.6085271228619,-11907.817533501378
18150.1875,410.7340265906971,-11902.187389482771
18160.2,430.768455624092,-11895.477060220508
18170.2125,431.86172054201126,-11893.060545130264
18180.225,438.32610134619085,-11884.32269277465
18190.2375,423.2163045830719,-11865.648503273442
18200.25,437.0483384031929,-11855.335964421576
18210.2625,435.04361155908856,-11859.386106620908
18220.275,438.55196297308726,-11856.549402446595
18230.2875,421.3118942876994,-11846.67717082622
18240.3,418.5294407014101,-11842.940529965355
18250.3125,421.9759295245533,-11830.575755107642
18260.325,431.5910600696184,-11826.137509037188
18270.3375,410.3310181711471,-11827.255501930802
18280.35,430.90573051892,-11832.76773458856
18290.3625,439.9601189913197,-11808.662403694849
18300.375,413.1269087580032,-11793.260921669622
18310.3875,418.1135069927536,-11794.079671850686
18320.4,426.7244433093736,-11794.925660010997
18330.4125,418.7846310840012,-11782.607659882186
18340.425,411.6160582906357,-11771.917054774009
18350.4375,406.0650238548302,-11759.948234781545
18360.45,411.5758668037896,-11758.743068662734
18370.4625,419.9426799870654,-11760.493010214
18380.475,416.4165904693302,-11742.942718049802
18390.4875,429.5605094883177,-11738.851746759688
18400.5,410.5438058533216,-11727.460921327198
18410.5125,423.0046985874728,-11723.000103998904
18420.525,390.690908544144,-11723.00589910054
18430.5375,412.5810338287892,-11714.87028365146
18440.55,418.0988728007388,-11706.995204138142
18450.5625,420.9817507332976,-11709.479013356393
18460.575,417.5533163709904,-11701.597289296353
18470.5875,406.9114788778874,-11706.084142559508
18480.6,416.7640844360292,-11704.242951581718
18490.6125,417.8355377651472,-11679.552224070212
18500.625,406.4064551303717,-11672.705757858324
18510.6375,422.3061984989094,-11677.99880608821
18520.65,419.8895098577806,-11660.13336451496
18530.6625,413.9836516216016,-11656.955564558051
18540.675,402.5723394097291,-11655.356403591266
18550.6875,404.4423106160238,-11666.576556897751
18560.7,413.643656313296,-11637.196422315765
18570.7125,426.0591736828003,-11643.06641769325
18580.725,387.2793224006215,-11601.963244723183
18590.7375,397.9317420096428,-11606.357634977488
18600.75,410.0363098842525,-11609.007073478648
18610.7625,413.19805454914126,-11618.081767319616
18620.775,405.0286327032144,-11596.935059846572
18630.7875,414.9822945094082,-11595.04311008633
18640.8,419.37003695506286,-11588.449573519596
18650.8125,407.1179062081868,-11581.368600347429
18660.825,424.7791569042178,-11574.45314777197
18670.8375,397.4548108573339,-11572.488540930304
18680.85,406.66885484755625,-11568.525732984002
18690.8625,403.4043173201296,-11571.705250008585
18700.875,408.38683821668513,-11550.78294642092
18710.8875,409.087628810084,-11549.750341832452
18720.9,399.0171646777304,-11543.588871628248
18730.9125,409.9814701878593,-11531.987025624923
18740.925,400.2901960181041,-11533.950594085183
18750.9375,417.0750570843605,-11528.036853238236
18760.95,398.65830275506767,-11517.02469854875
18770.9625,423.02538525308944,-11505.550589734985
18780.975,403.0646579443392,-11479.006935169238
18790.9875,381.108060958555,-11520.437635909702
18801.0,407.0189273740896,-11493.014785181196
18811.0125,405.8659636146498,-11491.207914781542
18821.025,396.3711286463967,-11483.903748855902
18831.0375,399.91115929338434,-11474.601644719358
