Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,95.62535782540576,-3281.0306139720333
18010.0125,94.277930959986,-3278.721041178652
18020.025,94.88696779163269,-3277.43476240834
18030.0375,94.85932460216108,-3274.8979908787405
18040.05,96.00113662743428,-3272.85257086633
18050.0625,95.03663310418833,-3271.598166327756
18060.075,95.80460969661824,-3270.180397753387
18070.0875,96.27511594222236,-3269.149561368534
18080.1,94.47386078084702,-3265.754313754962
18090.1125,95.24012104334976,-3264.5228364411764
18100.125,94.80054649770187,-3263.134772996029
18110.1375,96.77110381063557,-3262.2196169766826
18120.15,95.15620672035011,-3259.356857556906
18130.1625,94.14777217407342,-3257.313447934513
18140.175,95.56855103775573,-3255.6724306678684
18150.1875,95.27940045965698,-3254.5874181668746
18160.2,94.7284552532024,-3251.894441412827
18170.2125,96.20843099159008,-3251.3846575914117
18180.225,96.11128975741072,-3247.421241142825
18190.2375,94.83602125752876,-3247.6598934347576
18200.25,95.13552728406074,-3245.985550787729
18210.2625,92.78235712192452,-3245.164903394939
18220.275,94.71865224885798,-3241.989470910061
18230.2875,94.45452699894808,-3241.084697229631
18240.3,94.80086101126288,-3238.5030800128907
18250.3125,94.73980300142328,-3238.1523057766485
18260.325,94.499089814006,-3236.072257059261
18270.3375,93.35847467203544,-3233.5461620622423
18280.35,95.22394091762744,-3233.595737716683
18290.3625,94.32409316449602,-3230.604267209919
18300.375,94.494806420484,-3228.67099885233
18310.3875,95.18821889375774,-3227.3473332002254
18320.4,94.03671733210317,-3225.389051570842
18330.4125,94.83633541354668,-3224.2476717719155
18340.425,91.55256928382916,-3222.8541131050656
18350.4375,93.89159291609454,-3221.0978649683293
18360.45,93.89456113648372,-3218.6556584861946
18370.4625,93.85623993171636,-3216.485851956634
18380.475,91.9141641354974,-3214.5673549952166
18390.4875,93.39192127598102,-3213.6059572660592
18400.5,93.62321116701932,-3212.1123846281835
18410.5125,95.22995946020018,-3209.0410017403583
18420.525,92.86662320364267,-3207.8685375052187
18430.5375,93.24373319921824,-3207.131403854837
18440.55,92.74222220233484,-3204.698171231607
18450.5625,92.55847623942569,-3203.0841660146225
18460.575,92.88723654969834,-3201.3411908475778
18470.5875,93.4556958655509,-3199.5417671100117
18480.6,93.05004248621417,-3196.0264768050165
18490.6125,92.693119787527,-3195.804688997165
18500.625,92.46040281781944,-3195.024467634875
18510.6375,92.7435690566299,-3193.971999716149
18520.65,92.38013768539152,-3191.0177697342697
18530.6625,91.8574165809605,-3189.48721056218
18540.675,93.1561791157142,-3187.8975800336298
18550.6875,91.80558318794074,-3185.9958654126235
18560.7,92.02059804706144,-3183.867890894367
18570.7125,91.82046032745832,-3182.383448735828
18580.725,92.37640555986046,-3180.1042423187428
18590.7375,92.15564661699624,-3178.9187594896343
18600.75,91.46792666145234,-3177.3917969032814
18610.7625,91.71384477517688,-3174.452511988622
18620.775,92.34357538892527,-3173.54997730931
18630.7875,91.27916011218171,-3172.507259656963
18640.8,92.88109035670658,-3169.4330901040507
18650.8125,91.19108658414908,-3170.431617286641
18660.825,92.06306635134436,-3167.168616841876
18670.8375,91.99095734204585,-3165.093786937268
18680.85,92.3984292826927,-3162.7100459252188
18690.8625,91.39145717558787,-3161.9834632712577
18700.875,91.89339422466232,-3160.42519667746
18710.8875,90.76414267921672,-3157.5681498461176
18720.9,91.7096014661066,-3158.255406048673
18730.9125,92.06256528992962,-3155.323332619068
18740.925,89.63855929097116,-3154.7942965203165
18750.9375,90.51075443314294,-3152.017690514585
18760.95,91.1239825784311,-3150.718180299893
18770.9625,91.31449334771524,-3148.383597514461
18780.975,92.09479619971384,-3147.483584411491
18790.9875,90.64824673542752,-3146.032322369958
18801.0,90.99765811615556,-3143.805877841813
18811.0125,92.82139914482272,-3142.358294405077
18821.025,89.84965893038586,-3141.2706114666303
18831.0375,90.38567327679183,-3138.6819399260544
18841.05,89.5432027024456,-3135.3095107343715
18851.0625,90.29444014198609,-3135.7558047823027
18861.075,91.07428325127135,-3134.450195479676
18871.0875,89.92542027343313,-3132.160394618008
18881.1,90.70521872387076,-3132.595317926057
18891.1125,90.2241143028188,-3129.2860184088204
18901.125,89.80607702936608,-3127.225667309256
18911.1375,91.81973305609571,-3126.0776628896324
18921.15,91.01646337619732,-3122.8075805392123
18931.1625,90.7525385629875,-3123.1426485222223
18941.175,89.7241319892105,-3121.1629866735075
18951.1875,90.38021290595792,-3120.048939107572
18961.2,89.88975723041341,-3118.3488976872154
18971.2125,90.15985969072756,-3116.3812096602496
18981.225,88.55958390570669,-3115.7740287266643
18991.2375,90.0184707728051,-3113.389720908621
19001.25,89.22364371035103,-3111.0444218035805
19011.2625,90.43123391017308,-3111.1748100458917
19021.275,90.2452705208082,-3108.219040142912
19031.2875,89.99495527777616,-3106.5097211394564
19041.3,89.66868338936985,-3105.694775126628
19051.3125,89.90560542943031,-3103.907645201174
19061.325,89.76280497692083,-3101.357616008709
19071.3375,89.31509883851811,-3100.7321340601397
19081.35,88.36718717027638,-3098.100019289617
19091.3625,90.2623080918342,-3096.5560814623423
19101.375,89.96373380161549,-3096.1417419667428
19111.3875,89.72652230389247,-3094.019946634563
19121.4,91.17336286871596,-3091.244238005745
19131.4125,89.28999058838954,-3090.03810168526
19141.425,89.87127798986305,-3088.760058439053
19151.4375,89.41979711121579,-3086.2488546780623
19161.45,89.2814881677854,-3086.0846477045457
19171.4625,88.83283272210022,-3082.6110190163463
19181.475,89.79565847114966,-3084.2156889841835
19191.4875,89.45492121145278,-3079.774117107533
19201.5,88.9816721478993,-3078.7265595127515
19211.5125,87.97022882429141,-3077.3551779097643
19221.525,90.70446642759136,-3076.54897089266
19231.5375,88.73735997995648,-3074.586622490377
19241.55,88.1894171746396,-3072.9339534857163
19251.5625,87.41146029061653,-3070.8265110329007
19261.575,88.68046667745176,-3069.617861816119
19271.5875,88.43501268435806,-3068.539379398473
19281.6,90.47789819657214,-3067.0501838967425
19291.6125,87.30372374647439,-3065.027763718209
19301.625,89.36652873517382,-3063.7278582248846
19311.6375,88.11315648937743,-3061.7612763718294
19321.65,87.21621143425291,-3060.761454458569
19331.6625,87.99047608971881,-3058.814367474562
19341.675,89.09423058588804,-3056.625653445953
19351.6875,88.55526823924403,-3055.3622557491867
19361.7,87.83712513622442,-3054.0840608292165
19371.7125,87.37354157638163,-3053.351105775146
19381.725,88.74215630016931,-3051.3788525385808
19391.7375,87.49090490736987,-3049.3528347885567
19401.75,87.82228509620742,-3048.0969139233703
19411.7625,87.74336858667361,-3046.950905876304
19421.775,87.25710729208897,-3045.189835371611
19431.7875,87.92381754979375,-3043.1368641167437
19441.8,87.48027365698584,-3042.850808116815
19451.8125,85.38597653579836,-3040.3616335653824
19461.825,87.60186605767205,-3038.9436856029365
19471.8375,88.3422314519848,-3036.896079068354
19481.85,87.98612358619086,-3037.6215170190344
19491.8625,88.03715995284026,-3034.3143446355025
19501.875,87.60687139679379,-3032.287356792513
19511.8875,87.298516187225,-3031.560151196655
19521.9,86.18104107086913,-3029.603872264908
19531.9125,88.10782338893695,-3028.252236285527
19541.925,87.80583299462721,-3026.021926096017
19551.9375,88.63285395644203,-3024.4392785610307
19561.95,86.51936841364662,-3022.5398171635998
19571.9625,86.88505554184215,-3022.1299315543747
19581.975,86.29623843852066,-3020.44660889959
19591.9875,85.2845586734994,-3017.339237559493
19602.0,86.82586809570006,-3017.037828497075
19612.0125,87.80233033755805,-3015.90520229887
19622.025,87.85485910639892,-3014.388915452343
19632.0375,87.37672802333014,-3012.1295664169998
19642.05,86.85556568010352,-3012.2974871659744
19652.0625,87.3120778266108,-3007.835161963369
19662.075,86.11163621346444,-3007.4617473525573
19672.0875,86.36999834298734,-3006.443251845731
19682.1,86.89987573430237,-3004.9827255846403
19692.1125,86.78513937673135,-3003.593202488414
19702.125,87.40899507356487,-3002.1682721020443
19712.1375,84.91750721989494,-3000.093002369919
19722.15,85.92213031040508,-2999.2944992217717
19732.1625,84.47214432135246,-2995.3086344178887
19742.175,87.4804888011662,-2996.269157054186
19752.1875,86.75033023799342,-2994.1229455890366
19762.2,86.70853488135495,-2990.5715143297944
19772.2125,86.02487975792256,-2991.7427069554788
19782.225,86.25463092787483,-2990.0903691372
19792.2375,86.0427237195637,-2988.6483273799354
19802.25,85.42369273217297,-2987.09729963711
19812.2625,86.0753641265128,-2987.0040448656
19822.275,88.81351494171562,-2982.6501013560724
19832.2875,86.49979995724324,-2983.2923105167424
19842.3,85.72980805737207,-2981.2566481018016
19852.3125,85.75477060434125,-2978.803988670285
19862.325,84.9547793055377,-2979.772240174195
19872.3375,85.82804305504037,-2976.4832208848
19882.35,86.11433937479804,-2975.409057064096
19892.3625,86.26910818427616,-2972.793802651172
19902.375,86.31326418001662,-2972.177382152603
19912.3875,86.85432452921805,-2969.834716122914
19922.4,85.73672696314308,-2968.57976661284
19932.4125,84.60191830534538,-2967.035405727679
19942.425,85.22800834907329,-2966.0935719618838
19952.4375,85.77192112511545,-2965.138377307253
19962.45,83.29402823205227,-2963.422641447877
19972.4625,85.06309282464711,-2961.9104535806264
19982.475,84.34061589217464,-2960.5269715950444
19992.4875,84.59481709342553,-2960.1933834363413
20002.5,85.23159464323655,-2958.371441371128
20012.5125,84.80394248584611,-2955.355524482125
20022.525,85.546351410499,-2953.303489895207
