Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,361.2547213516653,-11867.037289490894
18010.0125,343.01349277330297,-11866.691486930413
18020.025,356.7055373188725,-11846.954963841908
18030.0375,345.87591509229424,-11835.63889961252
18040.05,349.97702546785786,-11817.856852608284
18050.0625,370.3180600890019,-11810.29038673018
18060.075,369.40204963698847,-11807.59089471628
18070.0875,371.1993114944608,-11821.666804083818
18080.1,359.990694432222,-11817.343240235949
18090.1125,354.8960389093476,-11791.445011048532
18100.125,385.8355945582321,-11778.329482189298
18110.1375,365.2630452350881,-11795.8079192073
18120.15,342.8968614889425,-11761.44495727867
18130.1625,366.4810771281993,-11772.267675340045
18140.175,350.8959609728968,-11772.172167896952
18150.1875,362.7483919146708,-11748.715955076115
18160.2,368.3428879627054,-11760.918739166911
18170.2125,349.9959847925843,-11740.584258578408
18180.225,357.6278824863673,-11754.537447132589
18190.2375,377.2409732832386,-11719.057220195991
18200.25,355.8986254296949,-11732.112312658235
18210.2625,374.52034362750027,-11721.99580561307
18220.275,359.4765535883065,-11704.449995521174
18230.2875,356.2768876695864,-11715.562013935289
18240.3,364.0418342611002,-11709.931077443933
18250.3125,350.57583272823257,-11678.19858324366
18260.325,343.3490766693905,-11685.858969801751
18270.3375,350.98117442417094,-11702.51439785448
18280.35,363.2011830741953,-11681.05092214428
18290.3625,368.5393257907099,-11663.662564611734
18300.375,373.71863194741735,-11659.05347833969
18310.3875,361.1926793262239,-11658.682613383113
18320.4,358.68955354889647,-11647.995990876245
18330.4125,346.4695432010148,-11644.254066868343
18340.425,348.57658385617617,-11627.871040154572
18350.4375,356.7015700735368,-11632.208264766436
18360.45,358.0559182603958,-11615.995653987142
18370.4625,358.3488025638964,-11618.170397927172
18380.475,362.9459809569785,-11619.31773270332
18390.4875,354.54524741270194,-11606.448769388258
18400.5,347.17893430503005,-11600.338058485688
18410.5125,353.9482291801098,-11585.595466982346
18420.525,357.78348053080504,-11590.832575342576
18430.5375,354.6838488672024,-11580.7911395026
18440.55,358.9741618454163,-11581.511943709873
18450.5625,348.5132069335304,-11561.541872484177
