Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,503.1841499110959,-11937.170300716563
18010.0125,486.7741876553642,-11917.835854157236
18020.025,492.3700995990218,-11925.576768039138
18030.0375,500.5774037420858,-11916.968724009976
18040.05,487.67252109847504,-11905.795713144636
18050.0625,488.84540083758674,-11901.74378234801
18060.075,495.3537076538499,-11890.581703073516
18070.0875,497.6022356183124,-11892.226365113886
18080.1,504.3363824397131,-11888.600653078976
18090.1125,489.318036423996,-11886.632934763433
18100.125,499.4530677213382,-11876.559963068385
18110.1375,504.19868210235495,-11860.164886249371
18120.15,486.4786480650975,-11849.657472943463
18130.1625,491.77552212377947,-11860.437496543189
18140.175,499.87629505725545,-11844.909398587171
18150.1875,487.6280995768343,-11833.83895210656
18160.2,472.5292645244744,-11819.810172458538
18170.2125,490.481568320811,-11822.980380941466
18180.225,487.590647280096,-11821.169709782434
18190.2375,489.55287114910857,-11815.493214299318
18200.25,492.85348229240407,-11809.525342508425
18210.2625,490.53277944166166,-11805.058684845551
18220.275,491.6654845938289,-11801.083446435923
18230.2875,497.43892314619154,-11795.824020057798
18240.3,490.6367890679315,-11780.809981070848
18250.3125,494.3420333818058,-11772.454040923276
18260.325,496.1487776489128,-11770.753440679862
18270.3375,490.2521221625123,-11756.303110579953
18280.35,498.60431593311046,-11746.063795350075
18290.3625,491.729134525252,-11745.930703761624
18300.375,468.49639946120016,-11736.066673507969
18310.3875,500.2325914561648,-11729.75932011642
18320.4,480.8159752802127,-11728.219595089407
18330.4125,485.4506048488028,-11722.785622521083
18340.425,482.02716614095846,-11714.851766874
18350.4375,483.19692971534334,-11719.350265155132
18360.45,477.6173636536385,-11695.541727570146
18370.4625,480.678515419487,-11699.116513592964
18380.475,483.27533098835096,-11688.68988485581
18390.4875,494.8218266385183,-11671.166873639202
18400.5,477.8407186275172,-11676.093835988591
18410.5125,479.298530244184,-11677.091733644826
18420.525,482.4992524737288,-11664.86614287174
18430.5375,486.1810797462687,-11679.477074015133
18440.55,485.5183156912258,-11653.421747820306
18450.5625,477.7414980831616,-11651.106344257909
18460.575,475.6960893562831,-11665.188990250206
18470.5875,478.7155716941812,-11643.463323893538
18480.6,483.8387230184038,-11633.97828555866
18490.6125,481.5498064119904,-11630.079125527738
18500.625,475.15117786030015,-11612.06278050901
18510.6375,480.4748778050402,-11617.716999962371
18520.65,477.0884925992204,-11612.46316477949
18530.6625,482.7434422287112,-11592.482935834896
18540.675,482.2226641078982,-11592.090446356937
18550.6875,483.1482612265863,-11586.784641439774
