Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,98.4995974611808,-3259.9113047439014
18010.0125,98.46221673748376,-3258.4096944993385
18020.025,98.347154974774,-3256.494920020258
18030.0375,98.41224574933575,-3254.3356021709988
18040.05,98.38465568015744,-3254.510725625162
18050.0625,98.75722044000302,-3251.1390627310893
18060.075,97.20800238064092,-3250.657803401188
18070.0875,97.18214332026764,-3247.9616063420563
18080.1,97.87346531957805,-3244.785993976921
18090.1125,98.00373907972345,-3243.7040133170176
18100.125,97.811416732155,-3241.9114336132707
18110.1375,98.42869120753892,-3240.4491264721305
18120.15,97.59687136067028,-3238.518632045189
18130.1625,98.12586446529666,-3237.737423218462
18140.175,99.09769302926516,-3235.6054513964214
18150.1875,97.44438176186168,-3233.699268405142
18160.2,98.14339587095832,-3231.293485315864
18170.2125,98.57926309581192,-3230.890767399759
18180.225,96.61642408172769,-3227.7321902215413
18190.2375,97.59477107616856,-3226.456108814715
18200.25,97.4809307790714,-3224.991491083424
18210.2625,98.85989689748014,-3221.425539276089
18220.275,97.84947619243056,-3222.1295806074727
18230.2875,97.10304146512377,-3219.947429057183
18240.3,97.56585813335332,-3219.541352525908
18250.3125,96.82913036422283,-3216.281992686648
18260.325,96.54152512188288,-3214.231708200484
18270.3375,95.92665768984442,-3213.730673188486
18280.35,95.7768692054614,-3210.928273727315
18290.3625,96.26916716430893,-3209.5966160677176
18300.375,95.94955701391102,-3207.762903698379
18310.3875,95.63998205725426,-3204.955824468341
18320.4,95.84670010513652,-3204.695095859841
18330.4125,95.68535718750122,-3202.32028729883
18340.425,96.84856100162844,-3201.237014754388
18350.4375,95.1647449124052,-3200.304613786629
18360.45,96.34405107315784,-3197.527770292737
18370.4625,95.75978818344048,-3196.0100339844307
18380.475,96.22976576534955,-3195.839876023461
18390.4875,96.2558600879032,-3192.7570312049293
18400.5,95.37140291397104,-3189.900843388264
18410.5125,97.32989913452518,-3188.1050583718074
18420.525,95.70884802832286,-3186.2126114696944
18430.5375,96.63379798200629,-3185.4271501549656
18440.55,95.90843771028936,-3183.096792445304
18450.5625,95.20854027359904,-3182.3902514220026
18460.575,95.34905181534936,-3180.5753329452828
18470.5875,95.25872978093491,-3179.424998501576
18480.6,95.61718591282448,-3177.5932158855157
18490.6125,95.09315174681204,-3175.851935853796
18500.625,95.4135477906988,-3174.600281322943
18510.6375,95.44758896243312,-3171.293430423391
18520.65,94.89513407911592,-3170.9563022548887
18530.6625,95.5128864131784,-3168.5436098851656
18540.675,95.92818900180308,-3167.6594980476343
18550.6875,92.9511342713524,-3165.286915695961
18560.7,94.73891907355606,-3163.490807613763
18570.7125,94.075372649488,-3161.600435753914
18580.725,95.35673949155812,-3158.6656951686896
18590.7375,94.6744312677186,-3158.6031877997766
18600.75,94.47837253427012,-3157.3108233989824
18610.7625,94.62498188547433,-3154.117699380653
18620.775,94.58684690280624,-3153.3900527013698
18630.7875,93.27315812640268,-3150.636746850769
18640.8,93.54062154484166,-3150.9678587839207
18650.8125,93.83203818032358,-3149.235689328709
18660.825,94.30626596960784,-3146.811135342222
18670.8375,93.96274108108396,-3144.0994191693867
18680.85,94.3959908499809,-3142.5144500239257
18690.8625,94.60251287728762,-3142.1776189579296
18700.875,94.75365819269771,-3138.7649014016906
18710.8875,95.28600941874876,-3138.153900475526
18720.9,94.4629661485328,-3137.0595232818205
18730.9125,93.79139730607004,-3135.5336720333457
18740.925,92.680711891137,-3132.063924576014
18750.9375,92.52747911871552,-3132.07617210844
18760.95,93.65930182210626,-3130.400971074313
18770.9625,92.71392111207814,-3128.690235251712
18780.975,94.44683069146885,-3127.150958020104
18790.9875,93.01977531615168,-3125.168256129832
18801.0,93.2248223209128,-3123.2943158960834
18811.0125,92.8026217350254,-3121.5946493937854
18821.025,94.69870870756044,-3121.146577628901
18831.0375,93.70758783114329,-3119.1215845431207
18841.05,93.20373809721856,-3117.308509221984
18851.0625,94.6050361630044,-3115.646362539668
18861.075,93.4212195469309,-3113.928922147102
18871.0875,93.0699808885141,-3112.633750944201
18881.1,92.7173177362422,-3109.2833331787474
18891.1125,93.4558877733784,-3109.284011030899
18901.125,92.12919223307884,-3107.9424258083263
18911.1375,92.34915629483906,-3106.300898440409
18921.15,92.45154062632145,-3103.9339324082075
18931.1625,93.19861334388808,-3102.371518780252
18941.175,92.49985173695562,-3100.564875294085
18951.1875,93.18660438945436,-3099.3316828213724
18961.2,92.02501166844972,-3097.7387986592
18971.2125,92.66499166143892,-3095.4006196776213
18981.225,91.94446483504431,-3093.953593755673
18991.2375,91.89464788210572,-3093.20261502697
19001.25,91.99340040382106,-3090.256105134733
19011.2625,91.38037014068632,-3088.7748924437774
19021.275,91.27328018832632,-3088.6321534564117
19031.2875,92.46142363867332,-3086.310485290687
19041.3,91.53141849284609,-3085.08631159894
19051.3125,91.4870183250772,-3083.848174927394
19061.325,92.04030603323474,-3081.524813255664
19071.3375,92.07578953013208,-3080.218532614068
19081.35,91.75303281340705,-3079.745585109048
19091.3625,91.68498338193902,-3077.266522838157
19101.375,93.0915444563788,-3075.932798817741
19111.3875,90.38910885713284,-3073.6359905594404
19121.4,91.55676518320124,-3071.9892365007768
19131.4125,91.5536164305212,-3070.5566306728847
19141.425,91.95613944776956,-3069.290243056713
19151.4375,91.46765894101472,-3066.862069108453
19161.45,91.36144587187408,-3065.786083978675
19171.4625,90.86437346560102,-3064.048394273414
19181.475,91.52324787960316,-3062.829554883117
19191.4875,90.67547583253338,-3060.586340280321
19201.5,91.5188798639758,-3059.1311011648145
19211.5125,91.42533701268862,-3058.807790645604
19221.525,90.23956503376664,-3054.385219620395
19231.5375,91.30344803436412,-3054.979179398238
19241.55,90.0761686439806,-3053.3306584213683
19251.5625,91.36941066972211,-3052.0698220644804
19261.575,90.91090713197866,-3050.3585838057497
19271.5875,90.8134487430586,-3049.2501976108774
19281.6,91.6225532273898,-3045.8496512920788
19291.6125,90.32784292333872,-3044.750981269935
19301.625,90.7417971699051,-3043.7340074634258
19311.6375,90.61106174379336,-3042.35784346517
19321.65,89.06337072486525,-3039.55547240418
19331.6625,90.62158258175288,-3039.255415499389
19341.675,91.78424779525449,-3037.419682610963
19351.6875,90.53341054173454,-3034.692320840004
19361.7,89.99962372305315,-3034.5019555493946
19371.7125,89.4020208672945,-3033.545293131104
19381.725,90.58974329739158,-3031.10866914482
19391.7375,90.09053038370608,-3029.4194306538266
19401.75,90.3065698259292,-3028.2249056340697
19411.7625,90.0442935619136,-3026.6885586436983
19421.775,89.974586889128,-3026.4542517431696
19431.7875,90.00779915687104,-3023.211561340812
19441.8,88.72363208494274,-3022.472016720314
19451.8125,91.92629320363608,-3019.895909470264
19461.825,89.13976454926078,-3019.6251601867616
19471.8375,89.81035930612636,-3017.578954292892
19481.85,89.12659166663639,-3017.501889838808
19491.8625,90.88418884363206,-3014.7592247801235
19501.875,89.71736268641313,-3012.52727945639
19511.8875,89.69303566934052,-3011.2307937227406
19521.9,88.2850963110602,-3010.3685434254658
19531.9125,89.49271805652307,-3009.0217957365594
19541.925,89.58393381430763,-3008.082707538184
19551.9375,87.27149423424464,-3005.684078713964
19561.95,88.66771553607947,-3003.88322338756
19571.9625,89.26481372334024,-3002.1000361346782
19581.975,89.74074182298925,-3000.5429711012243
19591.9875,88.3251367458473,-2998.269372455256
19602.0,89.33286149491317,-2997.618721987124
19612.0125,88.5167086249344,-2996.942361484616
19622.025,89.37252459841166,-2994.525513115153
19632.0375,88.96155710615426,-2993.2007769487577
19642.05,88.27044371397656,-2992.7792115778907
19652.0625,88.19049383949803,-2992.2283768484644
19662.075,89.6438859070938,-2988.609441646101
19672.0875,88.96802212745723,-2987.296656224697
19682.1,89.18373585648492,-2985.1382780079134
19692.1125,90.1820058550572,-2985.047016080068
19702.125,88.75728470500734,-2982.0957597303336
19712.1375,89.22760828626393,-2981.292679826923
19722.15,89.08446065223666,-2979.8475504957
19732.1625,88.98965368173444,-2978.2857508367333
19742.175,88.47296364419786,-2977.0451608823582
19752.1875,88.58585915206233,-2975.8782171851235
19762.2,87.17770907838555,-2974.73795727515
19772.2125,88.54754624310448,-2972.533931714739
19782.225,87.85629924975643,-2969.9793900375703
19792.2375,87.85969063679094,-2968.665390585312
19802.25,88.16306236764002,-2967.560059657945
19812.2625,88.32634729342496,-2965.338696463484
19822.275,89.78291911225463,-2963.4767601961203
19832.2875,88.99482334610961,-2964.5387806101744
19842.3,88.39151594395595,-2962.009375529251
19852.3125,88.32060636501278,-2961.2120313517576
19862.325,87.68838415177144,-2960.1713225122585
19872.3375,87.54518541712027,-2957.921924435463
19882.35,86.70118636797729,-2956.6934448865213
19892.3625,89.00687991860296,-2956.7232893782566
19902.375,87.51695058478026,-2952.6994160330323
19912.3875,87.94479711133509,-2951.6692954337664
19922.4,89.5576664926942,-2949.9760268600944
