Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,435.3760388557864,-11976.776406011184
18010.0125,434.90893478339024,-11963.122404099198
18020.025,440.4861310739088,-11965.447743156146
18030.0375,424.1363412238798,-11972.554057354611
18040.05,437.51996665603485,-11934.932760489251
18050.0625,429.890732661577,-11951.86155748954
18060.075,440.9123499308779,-11949.277344328371
18070.0875,435.1488535827469,-11935.124243213986
18080.1,438.9550761569562,-11922.029010933333
18090.1125,431.257967382604,-11905.881263907182
18100.125,440.1691601376217,-11912.929360049591
18110.1375,436.5820322386412,-11895.291619809435
18120.15,439.0067585592674,-11897.568129917345
18130.1625,432.64636042710106,-11898.548070867815
18140.175,426.3540240091949,-11888.10273089951
18150.1875,438.70636991476727,-11872.05739948294
18160.2,435.1008850532266,-11869.643208467864
18170.2125,429.4194710992907,-11867.007996085906
18180.225,432.0414665529574,-11856.182143094122
18190.2375,421.3605957085969,-11857.670048514692
18200.25,427.4517124845259,-11850.148161903084
18210.2625,430.39537478868624,-11835.650930028069
18220.275,427.2527084703626,-11836.09107163942
18230.2875,436.2497520373371,-11825.932186617038
18240.3,431.2499826642684,-11814.373514761945
18250.3125,423.54489104453177,-11825.36045310711
18260.325,449.3696923573173,-11802.143856659695
18270.3375,426.48496078827696,-11804.030930642848
18280.35,424.7188167347309,-11806.543769292866
18290.3625,415.2976624821424,-11797.139700174092
18300.375,429.7195430396784,-11781.56788770735
18310.3875,435.8850912560336,-11782.44244856052
18320.4,444.37375934467366,-11773.16982316616
18330.4125,426.6128692298648,-11754.249433673578
18340.425,429.2647695979447,-11756.111121781603
18350.4375,425.5912733915748,-11747.610741305472
18360.45,427.6300493940935,-11737.634831209878
18370.4625,424.0054253512956,-11735.2818705872
18380.475,417.52290773640107,-11731.189323395298
18390.4875,422.14693914048456,-11717.063051946054
18400.5,421.3255048491754,-11716.655236043249
18410.5125,422.5884820241615,-11722.66114587654
18420.525,425.21027572050593,-11694.983722069968
18430.5375,425.49208877123385,-11711.926804351302
18440.55,424.3713946688484,-11694.380850068374
18450.5625,419.1248354647794,-11685.428022255435
18460.575,423.5475546078967,-11683.827240836945
18470.5875,428.4074344215803,-11675.033623885647
18480.6,417.21244401205246,-11664.899111409704
18490.6125,415.4547999940432,-11643.986472552664
18500.625,402.2695864518117,-11654.345895902268
18510.6375,415.1602844524221,-11649.140043987927
18520.65,418.2862888754028,-11640.01799031119
18530.6625,413.5807291661406,-11646.344074860304
18540.675,418.6135167129717,-11628.515436038584
18550.6875,409.1024817359821,-11621.42804903384
18560.7,430.6102299749519,-11640.912302491248
18570.7125,415.76091008290575,-11610.890815470384
18580.725,427.02565429371214,-11605.017070858674
18590.7375,405.2500071710477,-11626.10901373228
18600.75,425.4774433830425,-11583.38406777061
18610.7625,413.7159009552001,-11585.482663398445
18620.775,417.9854033145658,-11570.647500269795
18630.7875,415.0711666285342,-11565.912280872955
18640.8,416.97477726442975,-11567.380080080306
18650.8125,418.4278502333871,-11559.696937906596
18660.825,415.4150031401528,-11555.10843617447
18670.8375,409.314816233948,-11546.096568295065
18680.85,426.5706282910672,-11546.434822681596
18690.8625,418.7856581550993,-11523.201603511165
18700.875,412.7589695101117,-11512.01331311378
18710.8875,416.1335012267027,-11528.820841745875
18720.9,413.9186520411901,-11501.933548912197
18730.9125,416.4323899964975,-11512.763724621793
18740.925,414.5921079047211,-11507.231511769858
18750.9375,417.6932939435299,-11507.357572076971
18760.95,414.12982375232593,-11506.697827278173
18770.9625,420.0819365911868,-11492.11647400157
18780.975,402.0363612336006,-11480.15837388508
18790.9875,409.6909498168458,-11495.896273907863
18801.0,404.68886383567366,-11472.823981054944
18811.0125,419.20440629668417,-11469.663428593967
18821.025,414.0445381918242,-11470.255498078724
18831.0375,407.6675192315799,-11458.70646412284
18841.05,412.0403225349931,-11453.97728780354
18851.0625,406.3960439442868,-11442.98411598198
18861.075,423.6589370187106,-11424.192053916158
18871.0875,413.0059272987895,-11430.19918183341
18881.1,405.6268049933769,-11423.76214853066
18891.1125,420.61033132323297,-11417.11544302791
18901.125,400.1932293524209,-11417.959122011278
18911.1375,404.0299925664206,-11408.70980206881
18921.15,401.3063370351842,-11398.758741662648
18931.1625,417.6144038796222,-11390.942511251124
18941.175,407.6563441665434,-11386.23794980155
18951.1875,410.449323461079,-11385.923751290864
18961.2,399.3897268418998,-11356.87227163332
18971.2125,412.5508751159403,-11362.156677419196
18981.225,407.2132649067942,-11355.929586176617
18991.2375,420.4406239814273,-11355.044874497366
19001.25,405.3644086156466,-11366.35077404606
19011.2625,404.9181393640548,-11343.299974517447
19021.275,397.74161483548215,-11343.656020205914
19031.2875,397.0003033561324,-11332.455277483978
19041.3,403.46724682746543,-11332.87899853851
19051.3125,403.7731708121035,-11330.379019691867
19061.325,396.55394868320656,-11309.750960788717
19071.3375,406.79733369593725,-11303.787848878545
19081.35,399.3350825036368,-11292.776619875664
