Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,85.4763418976784,-3722.8310610650287
18010.0125,88.12334289495263,-3721.37850190932
18020.025,85.97572176386305,-3717.4856233901487
18030.0375,88.16338367039262,-3715.217571784841
18040.05,88.91874754932684,-3713.1374415712817
18050.0625,89.55796965031126,-3712.233778529722
18060.075,90.0901584577215,-3711.816827787595
18070.0875,88.19687649475277,-3710.264020841818
18080.1,85.13006676362532,-3707.0433865702416
18090.1125,88.83477297407849,-3703.352950374383
18100.125,90.35361668334056,-3703.741864256247
18110.1375,86.60161231826052,-3701.2308389390328
18120.15,88.68765211246473,-3697.99570468112
18130.1625,90.10565562344522,-3697.062935773441
18140.175,86.92440671949204,-3695.8254924014886
18150.1875,89.7037803144728,-3690.922575144864
18160.2,85.53428475522779,-3690.892431630672
18170.2125,89.96626200576719,-3687.045022584905
18180.225,86.24971647453232,-3687.140935250978
18190.2375,90.4203275480265,-3685.194039913008
18200.25,86.93582500139725,-3681.4752240405146
18210.2625,87.69879650755125,-3681.051316082523
18220.275,87.25281579003344,-3677.224186117105
18230.2875,86.36691407118278,-3676.445732113535
18240.3,89.00382482549834,-3675.3185101553727
18250.3125,89.25313152373909,-3672.276084846087
18260.325,86.78053656903288,-3668.5119497471455
18270.3375,86.44117394497354,-3668.10095598988
18280.35,86.07339518207948,-3667.748330082044
18290.3625,86.95186379831998,-3665.781928737085
18300.375,87.92104333041446,-3662.3741994158954
18310.3875,88.93051063982237,-3660.46749763902
18320.4,87.33270944004339,-3656.953594735101
18330.4125,87.54325292367709,-3655.7339751611535
18340.425,87.80233034491661,-3653.974820720285
18350.4375,88.22369504888496,-3651.276862354981
18360.45,87.80697531499895,-3650.255257432834
18370.4625,87.83989635634035,-3649.5569371874894
18380.475,87.2943135726415,-3646.4036165259454
18390.4875,85.84899417624571,-3644.7206106312506
18400.5,86.86999861844308,-3642.533115553426
18410.5125,86.64691023626882,-3640.940950140395
18420.525,87.38589542872293,-3637.979746065409
18430.5375,85.99857696555506,-3637.688886981745
18440.55,85.93152035349036,-3634.045499845878
18450.5625,87.246971781456,-3633.18860854792
18460.575,86.5988283933551,-3631.238457910634
18470.5875,86.65396865132051,-3628.311252341399
18480.6,85.93336747730612,-3627.638659962623
18490.6125,87.05814972871035,-3624.5474483638745
18500.625,86.08556815445482,-3622.6765491213646
18510.6375,85.75734944016905,-3622.186566245777
18520.65,87.04800275299411,-3619.295247545852
18530.6625,86.30585808731581,-3617.162517352062
18540.675,86.33368774955295,-3615.530683081302
18550.6875,86.28152162941241,-3613.679439521408
18560.7,85.95534910659347,-3612.349586044441
18570.7125,85.83251467026304,-3609.484149050717
18580.725,85.4682409796345,-3608.62541836636
18590.7375,86.53893577688989,-3606.7124179301577
18600.75,85.92786141188311,-3604.725235568692
18610.7625,87.55608151192202,-3602.11184326904
18620.775,86.26701759258836,-3599.641622002494
18630.7875,85.68964272990272,-3597.9583956001934
18640.8,85.01809244036684,-3596.032562677547
18650.8125,84.96536206131982,-3594.3780043502243
18660.825,85.50155701272038,-3592.904732479811
18670.8375,85.67060681906771,-3590.7327957458438
18680.85,85.58524455061549,-3589.654641571726
18690.8625,84.41799329403284,-3587.3531316452386
18700.875,85.15623924885068,-3584.423581923627
18710.8875,85.25722751171158,-3582.214619477208
18720.9,85.63087200009673,-3580.349485588308
18730.9125,86.29730905884806,-3578.908411120628
18740.925,85.9941708929703,-3577.5904900259325
18750.9375,85.01225821720482,-3575.601585563816
18760.95,85.05330851574202,-3572.597139156855
18770.9625,85.68250759249413,-3571.224130254296
18780.975,85.49458357038515,-3570.247565019321
18790.9875,84.31093114143285,-3566.547440258028
18801.0,84.88347903697823,-3566.0146634421694
18811.0125,84.8100268584807,-3564.646806576517
